word,비교A,비교B
사막화,1,1
산업배출열,1,1
사염화탄소,1,1
사막녹지화,1,1
빈협약,1,1
사이클링,1,1
산무,1,1
산성,1,1
사바나,1,1
사막화 방지조약,1,1
산업폐기물,1,1
상아,1,1
생물농약,1,1
생물다양성 협약,1,1
살균제,1,1
산화지,1,1
생물권,1,1
살모넬라(salmonella),1,1
상수도,1,1
삼림,1,1
산화철,1,1
삼림 면적,1,1
생물막처리,1,1
생물농축,1,1
살충제,1,1
삼림 파괴,1,1
산화에틸렌,1,1
산화방지제,1,1
상수원,1,1
산지직거래,1,1
삼림 벌채,1,1
생물다양성협약에 관한 국제회의,1,1
"색도(色度,chromatility)",1,1
생명윤리,1,1
상승작용,1,1
산화,1,1
삼가크롬화합물,1,1
생물종 다양성 보전조약,1,1
생분해성 플라스틱,1,1
생물체에너지,1,1
생물의 다양성,1,1
서해안개발사업,1,1
석면 폐,1,1
생활협동조합,1,1
생물처리,1,1
생수,1,1
생태학적 농축,1,1
생화학무기,1,1
생태학적 재해,1,1
생물순환,1,1
석유 플랜트,1,1
생활쓰레기,1,1
생물재해,1,1
석면관,1,1
생활폐수,1,1
석면 대체건재,1,1
생물학적 탈질소,1,1
석유 대체 에너지,1,1
석면,1,1
생물활성탄법,1,1
소비자의 권리,1,1
세제,1,1
세계환경보전전략,1,1
석탄액화·석탄가스화,1,1
세계자연보호기금,1,1
소비자단체,1,1
세계자원연구소,1,1
석유파동,1,1
세계기후계획,1,1
선오염원,1,1
소비사회,1,1
세계 환경의 날,1,1
소나무고사,1,1
소음성 난청,1,1
소각장·소각,1,1
소음수준,1,1
세계보건기구(WHO),1,1
세슘,1,1
소음레벨,1,1
세계기상기구,1,1
석유수출국기구,1,1
석유화학폐수,1,1
선량한도,1,1
석유비축,1,1
석유콤비나트,1,1
세계의 에너지,1,1
수질오염물질,1,1
송충이,1,1
소포제,1,1
시설원예,1,1
습식공기산화,1,1
수은,1,1
수질개선부담금,1,1
수도관코팅,1,1
수은화합물,1,1
스트론튬,1,1
스티로폴,1,1
습지,1,1
소음장해,1,1
수익자부담원칙,1,1
수소 에너지,1,1
솔러시스템,1,1
시안,1,1
수질오염,1,1
수질환경,1,1
수질오염사고,1,1
수돗물,1,1
스모그(smog),1,1
슬러지(Sludge),1,1
수소이온농도,1,1
스미치온,1,1
수산화나트륨,1,1
솔러카,1,1
수은중독,1,1
시민단체,1,1
수자원,1,1
수력발전,1,1
아세트알데히드,1,1
쓰레기 소각로,1,1
아황산가스(SO2),1,1
식량위기,1,1
식량원조,1,1
알드린,1,1
식량 자급률,1,1
식물의 광합성,1,1
식기공해,1,1
아황산,1,1
아젠다21,1,1
식물연쇄(Food Chain),1,1
식염 섭취량,1,1
식물 신품종 보호에 관한 국제동맹,1,1
알코올자동차,1,1
식량비축,1,1
알루미늄 호일,1,1
쓰레기종량제,1,1
시안화합물,1,1
식품공해,1,1
암모니아성 질소,1,1
엘리뇨,1,1
알킬수은(alkyl mercury),1,1
알파선,1,1
야생 생물 보호 지역,1,1
에어로솔 분사제,1,1
엔드린,1,1
야생 생물 보호 구역,1,1
여과,1,1
약품침전,1,1
액화석유가스(LPG),1,1
역전층,1,1
엘니뇨현상,1,1
에너지 수요,1,1
엔트로피,1,1
앨드린,1,1
에어로솔,1,1
액화 천연가스(LNG),1,1
암모니아,1,1
에코 산업혁명,1,1
연성세제,1,1
염소,1,1
염화불화탄소(CFCs),1,1
열병합발전,1,1
열오염,1,1
열대야,1,1
염화물,1,1
연기(smoke),1,1
열파,1,1
염화수소(HCl),1,1
염소계 표백제,1,1
염류집적,1,1
염소처리,1,1
염화비닐리덴,1,1
열역학,1,1
염화알루미늄,1,1
연안어업,1,1
