Column1,Column2,Column3
"해당 자금은 영농자재 50% 할인 공급, 농기계 수리, 농작업 대행 등에 사용되며, 이를 위해 73명의 수리 인력과 55대의 이동 정비 차량을 피해 지역에 투입하여 복구 작업를 지원하고 있다.","해당 자금 영농자재 50% 할인 공급, 농기계 수리, 농작업 대행 등 사용되며, 이 위해 73명 수리 인력 55대 이동 정비 차량 피해 지역 투입하여 복구 작업 지원하고 있다.",수리
"재해자금은 영농자재 50% 할인 공급과 농기계 수리, 농작업 대행 등에 쓴다.","재해자금 영농자재 50% 할인 공급 농기계 수리, 농작업 대행 등 쓴다.",수리
농협은 수리 인력 73명과 이동정비차량 55대도 피해지역에 투입해 복구 작업을 지원할 계획이다.,농협 수리 인력 73명 이동정비차량 55대 피해지역 투입해 복구 작업 지원할 계획이다.,수리
선거 슬로건으로는 '이철우로 이재명을 이긴다!'를 내걸었다.,선거 슬로건 '이철우 이재명 이긴다!' 내걸었다.,슬로건
"2025 경주 APEC 정상회의에 대해서도 ""국회 APEC특위 전체회의에서 확인한 바에 따르면, 당장 숙소 개보수가 9월에 완료된다고 한다""면서 ""연인원이 총 2만여 명이나 되는 국제 행사의 인프라 준비가 2개월 전에 겨우 마무리되는 것에 위기의식은 없는가""라고 지적했다.","2025 경주 APEC 정상회의 대해서 ""국회 APEC특위 전체회의 확인한 바 따르면, 당장 숙소 개보수 9월 완료된다고 한다""면서 ""연인원 총 2만여 명 되는 국제 행사 인프라 준비 2개월 전 겨우 마무리되는 것 위기의식 없는가"" 지적했다.",인프라
"""저는 지역을 가능성이 있는 공간으로 인식하고 있습니다. 서울로 대표되는 중앙의 하위가 아니라, 지역에 사는 걸 선택한 우리 같은 사람들이 스스로 자부심을 가지고 지역을 봐야 경쟁력을 찾을 수 있다고 생각합니다. 광주에 뭐가 없고 뭐가 불편하고에 대한 이야기를 넘어 우리가 가진 것들을 잘 발굴하면 좋겠습니다. 그래서 저는 광주에 더 많은 기획자가 생겼으면 좋겠습니다. 문화기획자는 과거엔 문화 프로그램을 기획하는 사람을 의미했습니다. 공연이나 축제, 이벤트를 기획하는 사람이었습니다. 그렇지만 모두가 콘텐츠를 만들 수 있는 시대가 오면서 기획자의 저변이 많이 넓어졌습니다. 한 잔의 커피에도 스토리를 담고 기획을 할 수 있는 시대입니다. 그러니 앞으론 더 많은 사람들이 부담 없이 기획자가 되었으면 좋겠습니다.""","""저 지역 가능성 있는 공간 인식하고 있습니다. 서울 대표되는 중앙 하위 아니라, 지역 사는 걸 선택한 우리 같은 사람들 스스로 자부심을 가지고 지역 봐야 경쟁력 찾 수 있다고 생각합니다. 광주 뭐 없고 뭐 불편하고 대한 이야기 넘어 우리가 진 것들 잘 발굴하면 좋겠습니다. 그래서 저 광주 더 많은 기획자 생겼으면 좋겠습니다. 문화기획자 과거 문화 프로그램 기획하는 사람 의미했습니다. 공연 축제, 이벤트 기획하는 사람이었습니다. 그렇지만 모두 콘텐츠 만들 수 있는 시대 오면서 기획자 저변이 많 넓어졌습니다. 한 잔 커피 스토리 담고 기획 할 수 있는 시대입니다. 그러니 앞 더 많은 사람들이 부담 없 기획자 되었으면 좋겠습니다.""",이벤트
"국민 신한 하나 기업 농협은행과 위기브, 액티부키 등 민간 플랫폼을 통한 기부도 활발하다.","국민 신한 하나 기업 농협은행 위기브, 액티부키 등 민간 플랫폼 통한 기부 활발하다.",플랫폼
"이번 세미나에서는 공중진화 수단의 기술적 보완은 물론, 감시체계의 고도화, 인력운영 방식의 전환, 제도적 기반 정비 등 국가 산불 대응 전략 전반을 총체적으로 점검하고 실질적인 개선 방향을 모색한다.","이번 세미나 공중진화 수단 기술적 보완 물론, 감시체계 고도화, 인력운영 방식 전환, 제도적 기반 정비 등 국가 산불 대응 전략 전반 총체적 점검하고 실질적인 개선 방향 모색한다.",세미나
"AI 기반 열화상 드론, 고고도 무인기(UAV), 산불상황도 자동 생성 시스템 등은 기상 상황이나 야간 시간대에도 실시간 정보를 확보하고 최적 자원 배치를 판단할 수 있는 기술로 평가되며, 위성 기반 산불 모니터링 시스템과 함께 기존 감시망의 사각지대를 해소하는 역할에 대해서도 다뤄진다.","AI 기반 열화상 드론, 고고 무인기(UAV), 산불상황 자동 생성 시스템 등 기상 상황 야간 시간대 실시간 정보 확보하고 최적 자원 배치 판단할 수 있는 기술 평가되며, 위성 기반 산불 모니터링 시스템 함께 기존 감시망 사각지대 해소하는 역할 대해서 다뤄진다.",모니터링
"AI 기반 열화상 드론, 고고도 무인기(UAV), 산불상황도 자동 생성 시스템 등은 기상 상황이나 야간 시간대에도 실시간 정보를 확보하고 최적 자원 배치를 판단할 수 있는 기술로 평가되며, 위성 기반 산불 모니터링 시스템과 함께 기존 감시망의 사각지대를 해소하는 역할에 대해서도 다뤄진다.","AI 기반 열화상 드론, 고고 무인기(UAV), 산불상황 자동 생성 시스템 등 기상 상황 야간 시간대 실시간 정보 확보하고 최적 자원 배치 판단할 수 있는 기술 평가되며, 위성 기반 산불 모니터링 시스템 함께 기존 감시망 사각지대 해소하는 역할 대해서 다뤄진다.",시스템
